org_lifestage,source_provider,source_ontology,source_term_id,source_term_label,source_term_definition,source_release,source_match_method,source_match_status,candidate_rank,candidate_score,candidate_reason,ecotox_release,harmonized_life_stage,reproductive_stage,derivation_source
Flower opening,PlantOntologyOBO,PO,PO:0007016,whole plant flowering stage,A sporophyte reproductive stage (PO:0007130) during which a flower (PO:0009046) on a whole plant (PO:0000003) is open.,po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,TRUE,auto_ontology_category_map
Froglet,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Fry,Curated,FOODON,FOODON:00004318,fry (fish),A fish that is recently hatched and has reached the stage where its yolk-sac has almost disappeared and its swim bladder is operational to the point where the fish can actively feed for itself.,curation_queue,curation_queue,resolved,1,100,Usage-priority review: replace narrow salmon alevin bridge with exact broad fish fry source; harmonized stage remains Juvenile.,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,curation_queue
Gamete,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Gamete/cell-type label, not a developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Gastrula,OLS4,UBERON,UBERON:0004734,gastrula,Organism at the gastrula stage.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
Germinated seed,PlantOntologyOBO,PO,PO:0007057,seed germination stage,"A sporophyte vegetative stage (PO:0007134) which begins with the onset of a seed imbibition stage (PO:0007022) and ends with a radicle emergence stage (PO: 0007015), or a coleorhiza emergence stage (PO:0025475), as a result of the growth by the plant embryo (PO:0004537) in a seed (PO:0009010).",po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
Gestation,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Pregnancy reproductive physiological state; quarantined because it is not a developmental life stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,TRUE,curation_queue
Glochidia,NVS,S11,S1128,larva,,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Grain or seed formation stage,Curated,PO,PO:0007007,whole plant fruit formation stage 50 to 70%,A whole plant fruit formation stage that spans the interval when the average size of fruits on a whole plant has reached 50% to 70% of its final size.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,TRUE,curation_queue
Heading,Curated,PO,PO:0007008,IE.02 1/2 of inflorescence emerged from flag leaf sheath stage,The stage at which 1/2 of inflorescence has emerged from flag leaf sheath.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,TRUE,curation_queue
Imago,NVS,S11,S1116,adult,An animal that has reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,baseline_curated_source_id
Immature,NVS,S11,S1171,immature,"This term may have subtle variations in its definition depending on the type of organism it relates to. In a general sense, it applies to organisms that are at the last stage of their juvenile development prior to a fully mature adult stage, ie when an organism looks like an adult but its reproductive organs have not yet reached maturity.",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Subadult,FALSE,baseline_curated_source_id
Incipient bud,PlantOntologyOBO,PO,PO:0025528,bud development stage,A shoot system development stage (PO:0025527) that has as primary participant a bud (PO:0009006).,po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,auto_ontology_category_map
Instar,NVS,S11,S1105,first juvenile instar,"The first-juvenile instar is the first developmental phase for certain juvenile arthropods and crustaceans. Larval development typically consists of series of stages in which each stage is separated from the next by a molt. An instar is usually defined as the period between molts (ecdyses), and synonymous to the first developmental phase in the juvenile lifestage.",current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Intermolt,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Arthropod state between molts; biologically meaningful but not a clean harmonized life-stage mapping,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Internode elongation,OLS4,PO,PO:0007079,SE.00 stem elongation begins stage,"A measure of vegetative growth, but leaf production is to be preferred.",current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,manual_derivation
Jointing,OLS4,PO,PO:0007079,SE.00 stem elongation begins stage,"A measure of vegetative growth, but leaf production is to be preferred.",current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,manual_derivation
Juvenile,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Lactational,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Lactational reproductive physiological state; quarantined because it is not a developmental life stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,TRUE,curation_queue
Lag growth phase,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Microbial growth phase, not a life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Larva,NVS,S11,S1128,larva,,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Larva-pupa,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Mixed metamorphic label spanning larval and pupal stages; not a single harmonized stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Male gametophyte,OLS4,PO,PO:0025280,microgametophyte,"The microgametophyte in bryophytes only produce sperm cells, but do not develop from microspores, because there is no heterospory in bryophytes. In seed plants the male gametophyte is reduced to a pollen grain.",current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Adult,TRUE,baseline_curated_source_id
Mature,Curated,PO,PO:0001016,L mature pollen stage,Stage of microgametophyte development during which the pollen reaches mature stage and desiccates.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,FALSE,curation_queue
Mature (full-bloom stage) organism,PlantOntologyOBO,PO,PO:0007016,whole plant flowering stage,A sporophyte reproductive stage (PO:0007130) during which a flower (PO:0009046) on a whole plant (PO:0000003) is open.,po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,TRUE,auto_ontology_category_map
Mature dormant,Curated,PO,PO:0007132,sporophyte dormant stage,A sporophyte development stage during which a sporophyte participates in a dormancy process.,curation_queue,curation_queue,resolved,1,100,Audit and curated-candidate artifacts provide a stable source-backed ontology term; promote to manual force_candidate with definition preserved.,ecotox_ascii_03_12_2026.zip,Senescent/Dormant,FALSE,curation_queue
Mature reproductive,NVS,S11,S1116,adult,An animal that has reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,baseline_curated_source_id
Mature vegetative,Curated,PO,PO:0007134,sporophyte vegetative stage,A sporophyte development stage that occurs during the interval between the first division of a plant zygote and the formation of a sporangium.,curation_queue,curation_queue,resolved,1,100,Audit and curated-candidate artifacts provide a stable source-backed ontology term; promote to manual force_candidate with definition preserved.,ecotox_ascii_03_12_2026.zip,Adult,FALSE,curation_queue
"Mature, pit-hardening stage (fruit trees)",Curated,PO,PO:0007007,whole plant fruit formation stage 50 to 70%,A whole plant fruit formation stage that spans the interval when the average size of fruits on a whole plant has reached 50% to 70% of its final size.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,TRUE,curation_queue
"Mature, post-bloom stage (fruit trees)",Curated,PO,PO:0007007,whole plant fruit formation stage 50 to 70%,A whole plant fruit formation stage that spans the interval when the average size of fruits on a whole plant has reached 50% to 70% of its final size.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,TRUE,curation_queue
"Mature, side-green stage (fruit trees)",Curated,PO,PO:0007007,whole plant fruit formation stage 50 to 70%,A whole plant fruit formation stage that spans the interval when the average size of fruits on a whole plant has reached 50% to 70% of its final size.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,TRUE,curation_queue
Megalopa,NVS,S11,S1167,megalopa,Organisms at the final larval development stage of decapod crustaceans (e.g. crabs) following the zoea and preceding the adult stage.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,baseline_curated_source_id
Mid-neurula,Curated,AMPHX,AMPHX:0000043,neurula-N3 stage,6-7 somite pairs,curation_queue,curation_queue,resolved,1,100,OLS4 AMPHX gives a specific mid-neurula amphibian stage; promote from requery as embryo-stage source-backed mapping.,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,curation_queue
Molt,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Arthropod ecdysis event/state; not a single harmonized developmental stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Morula,OLS4,UBERON,UBERON:0000085,morula,A spherical embryonic mass of blastomeres formed before the blastula and resulting from cleavage of the fertilized ovum.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
Multiple,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Multiple life stages combined; not a single resolvable developmental stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Mysis,NVS,S11,S1161,mysis,Free-swimming planktonic larval forms of decapod crustaceans (especially shrimps) with three recognised development sub-stages. First sub-stage produced from protozoeae by moulting.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Naiad,DevStageOntologies,UBERON,UBERON:0000069,larval stage,"A distinct juvenile stage many animals undergo before metamorphosis into adults. Animals with indirect development such as insects, amphibians, or cnidarians typically have a larval phase of their life cycle.",obophenotype_life_stages_current,provider_rank,resolved,1,75,boundary_match,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Nauplii,NVS,S11,S1115,N1-6,This code is equivalent to S1130 and has been deprecated.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Neonate,OLS4,UBERON,UBERON:0007221,neonate stage,"Of or pertaining to the period of time immediately following birth, or to the newborn.",current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Neurala,Curated,UBERON,UBERON:0000110,neurula stage,A chordate developmental stage defined by formation of the neural tube from the neural plate.,curation_queue,curation_queue,resolved,1,100,Treat ECOTOX spelling variant as neurula stage; OLS4/UBERON provides stable source-backed embryo-stage mapping.,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,curation_queue
"New, newly or recent hatch",Curated,FOODON,FOODON:00004300,hatchling,A newly hatched animal.,curation_queue,curation_queue,resolved,1,100,Usage-priority review: replace overbroad neonate bridge with exact hatchling source; retain Larva harmonization used for newly hatched stages.,ecotox_ascii_03_12_2026.zip,Larva,FALSE,curation_queue
Newborn,NVS,S11,S1172,newborn,"A newly born vertebrate (fishes, amphibians, reptiles, birds, mammals). The term 'hatchling' is used for newborn emerged from an egg.",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Not coded,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Maps to Unspecified; no ontology source; data quality artifact,ecotox_ascii_03_12_2026.zip,Unspecified,FALSE,curation_queue
Not intact,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Maps to Unspecified; no ontology source; data quality artifact,ecotox_ascii_03_12_2026.zip,Unspecified,FALSE,curation_queue
Not reported,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Maps to Unspecified; no ontology source; data quality artifact,ecotox_ascii_03_12_2026.zip,Unspecified,FALSE,curation_queue
Nymph,OLS4,UBERON,UBERON:0014405,nymph stage,A larval stage of that is the immature stage of some invertebrates that undergoe gradual metamorphosis (hemimetabolism) before reaching its adult stage.,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
"Oocyte, ova",,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Gamete/cell-type label, not a developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Parr,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
"Pollen, pollen grain",,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Plant gametophyte structure/cell-type label, not an organism developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Post-embryo,NVS,S11,S1106,embryo,The developing unborn or unhatched offspring of a multicellular organism.,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
Post-emergence,Curated,UBERON,UBERON:0000113,post-juvenile adult stage,The stage of being a sexually mature adult animal.,curation_queue,curation_queue,resolved,1,100,Audit and curated-candidate artifacts provide a stable source-backed ontology term; promote to manual force_candidate with definition preserved.,ecotox_ascii_03_12_2026.zip,Adult,FALSE,curation_queue
Post-hatch,Curated,FOODON,FOODON:00004300,hatchling,A newly hatched animal.,curation_queue,curation_queue,resolved,1,100,Usage-priority review: replace post-embryonic source that harmonized to Egg/Embryo with hatchling source and Larva harmonization.,ecotox_ascii_03_12_2026.zip,Larva,FALSE,curation_queue
Post-larva,NVS,S11,S1128,larva,,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Post-molt,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Arthropod post-ecdysis state; not a single harmonized developmental stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Post-nauplius,NVS,S11,S1130,nauplius,All sub-stages of the first development stage of crustaceans after hatching.,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Post-smolt,NVS,S11,S1173,smolt,A young salmon or sea-going trout that is at the stage of development when it assumes a silvery color and is physiologically ready to migrate to the sea.,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Post-spawning,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Post-reproductive event/state; quarantined because it is not a developmental stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,TRUE,curation_queue
Postpartum,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Post-birth reproductive physiological period; quarantined because it is not a developmental life stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,TRUE,curation_queue
"Pre-, sub-, semi-, near adult, or peripubertal",NVS,S11,S1116,adult,An animal that has reached sexual maturity,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Adult,FALSE,baseline_curated_source_id
Pre-hatch,NVS,S11,S1106,embryo,The developing unborn or unhatched offspring of a multicellular organism.,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
Pre-larva,NVS,S11,S1128,larva,,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Pre-molt,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Arthropod pre-ecdysis state; not a single harmonized developmental stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Pre-smolt,NVS,S11,S1173,smolt,A young salmon or sea-going trout that is at the stage of development when it assumes a silvery color and is physiologically ready to migrate to the sea.,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Pre-spawning,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Pre-reproductive event/state; quarantined because it is not a developmental stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,TRUE,curation_queue
Prebloom,PlantOntologyOBO,PO,PO:0025528,bud development stage,A shoot system development stage (PO:0025527) that has as primary participant a bud (PO:0009006).,po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,auto_ontology_category_map
Prepupal,Curated,UBERON,UBERON:0000070,pupal stage,A life cycle stage of holometabolous insects in which the organism is a pupa and starts with larval-pupal apolysis and ends with pupal-adult apolysis.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Larva,FALSE,curation_queue
Prolarva,NVS,S11,S1128,larva,,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Protolarvae,Curated,DpseDv,DpseDv:0000003,larval stage,A distinct juvenile stage many animals undergo before metamorphosis into adults.,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Larva,FALSE,curation_queue
Protozoea,NVS,S11,S1160,protozoea,"Free-swimming planktonic larval forms of decapod crustaceans with three recognised development sub-stages (Dall et al., 1990).",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,baseline_curated_source_id
Pullet,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Pupa,NVS,S11,S1180,pupa,An organism at the pupal stage. A life stage of some insects undergoing a complete metamorphosis between immature (larva) and mature (adult or imago) stages.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Rhizome,OLS4,PO,PO:0004542,rhizome,"In ferns and many monocots, a rhizome is a primary axis (stem), while in other species, it is a branch. Usually produces scale-like leaves.",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Adult,FALSE,auto_ontology_category_map
Rooted cuttings,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Plant propagation material, not a developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Rootstock,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Plant propagation material or structure, not a developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
"Sac fry, yolk sac fry",Curated,S11,S1187,yolk-sac larva,A fish life stage between hatching and until complete absorption of yolk-sac.,curation_queue,curation_queue,resolved,1,100,Usage-priority review: raw term explicitly indicates sac/yolk-sac fry; use NVS yolk-sac larva instead of invalid S11:S115 fry bridge.,ecotox_ascii_03_12_2026.zip,Larva,FALSE,curation_queue
Sapling,Curated,PO,PO:0007134,sporophyte vegetative stage,A sporophyte development stage that occurs during the interval between the first division of a plant zygote and the formation of a sporangium.,curation_queue,curation_queue,resolved,1,100,Automated replacement changes harmonized semantics; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Adult,FALSE,curation_queue
